country_code,country,distribution_losses_electricity,coal_peat_and_manufactured_gases,combustible_renewables,geothermal,hydro,natural_gas,nuclear,oil_and_petroleum_products,other_combustible_non-renewables,other_renewables,others,solar,wind,total_exports_electricity,total_imports_electricity,used_for_pumped_storage_electricity,GDPpermonth,date,populationpermonth
AUS,Australia,1266.285,12999.464,216.287,0.083,1044.406,3392.874,0,58.605,0,0,0,26.811,350.511,0,0,6.75,95717500000,40269,21805018.67
AUS,Australia,1263.021,13143.339,165.184,0.083,911.037,3050.728,0,16.025,0,0,0,95.94,507.972,0,0,10.413,1.16534E+11,40634,22134508
AUS,Australia,1113.32,12256.252,237.591,0.083,1207.434,3964.053,0,64.326,0,0,0,160.244,432.456,0,0,15.158,1.28908E+11,41000,22471171
AUS,Australia,1048.799,11876.644,246.108,0.083,1417.845,3325.833,0,8.372,0,0,0,239.573,582.163,0,0,20.317,1.31365E+11,41365,22865019.67
AUS,Australia,881.143,11392.532,272.38,0.083,1157.836,4272.442,0,489.991,0,0,0,276.378,676.409,0,0,8.869,1.22296E+11,41730,23243981.33
AUS,Australia,735.1881,12051.7231,260.244,0.083,1067.2862,3784.0696,0,490.41,0,0,0,376.7453,874.7301,0,0,16.3288,1.12552E+11,42095,23589122.33
AUS,Australia,960.4428,12636.5266,580.5049,0,953.9071,3842.9439,0,425.0032,0,0,0,465.7322,889.5616,0,0,31.4478,1.00545E+11,42461,23940965.67
AUS,Australia,761.5374,11330.0001,235.6273,0.083,684.0958,4278.6492,0,447.1977,0,0,0,617.8798,839.147,0,0,17.7273,1.10543E+11,42826,24325338.67
AUS,Australia,790.3141,11692.558,268.9318,0,1500.098,3777.8421,0,339.6176,0,0,0,751.6364,1040.9211,0,0,34.5413,1.19024E+11,43191,24718349
AUS,Australia,739.1876,11322.5731,257.2996,0,960.2559,3675.5708,0,342.8675,0,0,0,1248.7755,1459.657,0,0,37.347,1.16019E+11,43556,25091167.67
AUS,Australia,740.0371,10433.3718,253.3519,0,1268.3681,3674.5505,0,300.0797,0,0,0,1632.0286,1598.7827,0,0,54.8856,1.10575E+11,43922,25445241
AUS,Australia,876.4952,10611.9414,257.9974,0,1364.8056,3535.9508,0,331.1218,0,0,0,2293.9608,1650.4649,0,0,67.034,1.29389E+11,44287,25666219
AUS,Australia,1453.335,14207.784,165.184,0.083,1671.956,4154.122,0,247.449,0,0,0,84.458,574.758,0,0,19.11,95717500000,40391,21918384.33
AUS,Australia,1245.491,13969.061,237.591,0.083,1332.328,3945.561,0,11.446,0,0,0,141.067,509.829,0,0,16.726,1.16534E+11,40756,22237266
AUS,Australia,1182.985,12866.337,246.108,0.083,1963.469,4030.572,0,352.89,0,0,0,210.902,752.073,0,0,28.136,1.28908E+11,41122,22602318
AUS,Australia,960.443,11993.048,272.38,0.083,1808.19,3996.303,0,15.959,0,0,0,243.302,1180.731,0,0,13.85,1.31365E+11,41487,22996574.33
AUS,Australia,1141.621,12950.639,283.179,0.083,1438.076,4568.512,0,20.731,0,0,0,304.765,677.609,0,0,22.002,1.22296E+11,41852,23359833.67
AUS,Australia,816.7916,13123.7385,261.1091,0,1714.6649,3796.6485,0,492.0402,0,0,0,346.6305,1227.6664,0,0,26.2334,1.12552E+11,42217,23702558.67
AUS,Australia,1111.993,13611.192,303.218,0.083,1683.083,3125.285,0,50.98,0,0,0,560.78,1151.781,0,0,43.614,1.00545E+11,42583,24065936.33
AUS,Australia,878.1252,12677.1188,328.8829,0,1554.1563,4241.119,0,443.2751,0,0,0,678.4241,1400.5912,0,0,40.2735,1.10543E+11,42948,24459770.33
AUS,Australia,876.3862,12145.9133,265.9765,0,2075.8003,3917.3826,0,352.1619,0,0,0,1000.378,1862.2726,0,0,47.7974,1.19024E+11,43313,24842496
AUS,Australia,836.2217,11653.2467,260.6585,0,1508.988,4548.7949,0,424.3243,0,0,0,1471.62,1939.7441,0,0,58.6886,1.16019E+11,43678,25215692.33
AUS,Australia,838.3136,11582.3359,243.135,0,1268.5871,4283.3729,0,349.7987,0,0,0,1756.4586,2249.399,0,0,54.8951,1.10575E+11,44044,25550265
AUS,Australia,956.6238,10981.4369,260.1933,0,1447.433,3825.7274,0,358.2577,0,0,0,2471.103,2543.3373,0,0,71.0923,1.29389E+11,44409,25677149
AUS,Australia,1326.756,12764.666,165.184,0.083,1643.899,3953.514,0,60.7,0,0,0,175.143,562.097,0,0,18.789,95717500000,40513,22031750
AUS,Australia,1156.634,13114.885,237.591,0.083,904.043,3927.453,0,12.819,0,0,0,292.535,539.034,0,0,11.349,1.16534E+11,40878,22340024
AUS,Australia,1108.805,12577.106,246.108,0.083,1159.981,3957.345,0,947.424,0,0,0,437.355,760.075,0,0,16.622,1.28908E+11,41244,22733465
AUS,Australia,926.515,11734.61,272.38,0.083,1690.361,4034.518,0,162.277,0,0,0,504.544,742.142,0,0,12.948,1.31365E+11,41609,23128129
AUS,Australia,1076.69,12521.549,283.179,0.083,797.707,4420.5,0,1204.943,0,0,0,632.001,901.387,0,0,12.204,1.22296E+11,41974,23475686
AUS,Australia,800.1073,12912.4159,296.3919,0,1058.963,4309.6764,0,558.5279,0,0,0,532.3385,1083.3326,0,0,16.2015,1.12552E+11,42339,23815995
AUS,Australia,1067.155,12973.815,278.254,0.083,1466.037,2913.24,0,123.921,0,0,0,830.593,1074.389,0,0,37.99,1.00545E+11,42705,24190907
AUS,Australia,863.7025,12834.9794,323.4798,0,786.0822,4361.0607,0,455.8112,0,0,0,1009.2816,1206.5689,0,0,20.3701,1.10543E+11,43070,24594202
AUS,Australia,854.3775,12399.122,253.6976,0,1301.5345,3662.7906,0,329.2748,0,0,0,1653.8851,1515.2226,0,0,29.9692,1.19024E+11,43435,24966643
AUS,Australia,838.3472,12142.1228,247.0915,0,1016.4202,3968.0083,0,370.1469,0,0,0,2415.9305,1776.0663,0,0,39.5313,1.16019E+11,43800,25340217
AUS,Australia,845.604,11030.8666,244.0466,0,958.9621,3620.0845,0,295.6317,0,0,0,3526.8704,2367.5981,0,0,41.4968,1.10575E+11,44166,25655289
AUS,Australia,966.5667,10291.7452,260.9344,0,1105.0617,3382.2842,0,316.7317,0,0,0,4401.2416,2316.3975,0,0,54.2764,1.29389E+11,44531,25688079
AUS,Australia,1311.132,13482.774,216.287,0.083,983.425,3624.479,0,401.521,0,0,0,38.884,390.199,0,0,6.75,95717500000,40210,21748335.83
AUS,Australia,1319.429,12999.254,165.184,0.083,1216.229,4091.128,0,1127.917,0,0,0,139.142,538.337,0,0,13.901,1.16534E+11,40575,22083129
AUS,Australia,1166.529,13285.313,237.591,0.083,895.97,3912.147,0,652.416,0,0,0,232.402,496.331,0,0,11.248,1.28908E+11,40940,22405597.5
AUS,Australia,1056.933,11600.35,246.108,0.083,1371.249,4170.794,0,220.387,0,0,0,347.454,598.18,0,0,19.649,1.31365E+11,41306,22799242.33
AUS,Australia,891.244,11605.505,272.38,0.083,1071.815,4315.616,0,1102.282,0,0,0,400.832,707.904,0,0,8.21,1.22296E+11,41671,23186055.17
AUS,Australia,733.5447,12053.3827,272.0676,0.083,886.471,3955.9896,0,512.6906,0,0,0,502.2237,800.89,0,0,13.5625,1.12552E+11,42036,23532404.17
AUS,Australia,1022.4627,13310.944,582.93,0,1171.597,4111.9728,0,454.756,0,0,0,620.8583,934.542,0,0,38.6245,1.00545E+11,42401,23878480.33
AUS,Australia,826.6674,12259.164,238.2628,0.083,959.226,4348.0653,0,454.453,0,0,0,788.8354,977.4611,0,0,24.8568,1.10543E+11,42767,24258122.83
AUS,Australia,802.2567,12067.1451,242.0592,0,997.139,3995.3123,0,359.1676,0,0,0,910.5824,1132.5192,0,0,22.9602,1.19024E+11,43132,24656275.5
AUS,Australia,768.8261,11546.1026,247.5239,0,782.7572,4242.9767,0,395.7968,0,0,0,1433.3042,1399.498,0,0,30.4436,1.16019E+11,43497,25028905.33
AUS,Australia,808.2598,11515.0764,249.5844,0,1103.5167,4456.9551,0,363.9742,0,0,0,1834.7822,1408.2926,0,0,47.752,1.10575E+11,43862,25392729
