country_code,country,continent,region
AFG,Afghanistan,Asia,Southern Asia
ALA,Åland Islands,Europe,Northern Europe
ALB,Albania,Europe,Southern Europe
DZA,Algeria,Africa,Northern Africa
ASM,American Samoa,Oceania,Polynesia
AND,Andorra,Europe,Southern Europe
AGO,Angola,Africa,Sub-Saharan Africa
AIA,Anguilla,Americas,Latin America and the Caribbean
ATA,Antarctica,,
ATG,Antigua and Barbuda,Americas,Latin America and the Caribbean
ARG,Argentina,Americas,Latin America and the Caribbean
ARM,Armenia,Asia,Western Asia
ABW,Aruba,Americas,Latin America and the Caribbean
AUS,Australia,Oceania,Australia and New Zealand
AUT,Austria,Europe,Western Europe
AZE,Azerbaijan,Asia,Western Asia
BHS,Bahamas,Americas,Latin America and the Caribbean
BHR,Bahrain,Asia,Western Asia
BGD,Bangladesh,Asia,Southern Asia
BRB,Barbados,Americas,Latin America and the Caribbean
BLR,Belarus,Europe,Eastern Europe
BEL,Belgium,Europe,Western Europe
BLZ,Belize,Americas,Latin America and the Caribbean
BEN,Benin,Africa,Sub-Saharan Africa
BMU,Bermuda,Americas,Northern America
BTN,Bhutan,Asia,Southern Asia
BOL,Bolivia,Americas,Latin America and the Caribbean
BES,"Bonaire, Sint Eustatius and Saba",Americas,Latin America and the Caribbean
BIH,Bosnia And Herzegovina,Europe,Southern Europe
BWA,Botswana,Africa,Sub-Saharan Africa
BVT,Bouvet Island,Americas,Latin America and the Caribbean
BRA,Brazil,Americas,Latin America and the Caribbean
IOT,British Indian Ocean Territory,Africa,Sub-Saharan Africa
BRN,Brunei Darussalam,Asia,South-eastern Asia
BGR,Bulgaria,Europe,Eastern Europe
BFA,Burkina Faso,Africa,Sub-Saharan Africa
BDI,Burundi,Africa,Sub-Saharan Africa
CPV,Cabo Verde,Africa,Sub-Saharan Africa
KHM,Cambodia,Asia,South-eastern Asia
CMR,Cameroon,Africa,Sub-Saharan Africa
CAN,Canada,Americas,Northern America
CYM,Cayman Islands,Americas,Latin America and the Caribbean
CAF,Central African Republic,Africa,Sub-Saharan Africa
TCD,Chad,Africa,Sub-Saharan Africa
CHL,Chile,Americas,Latin America and the Caribbean
CHN,People's Republic of China,Asia,Eastern Asia
CXR,Christmas Island,Oceania,Australia and New Zealand
CCK,Cocos (Keeling) Islands,Oceania,Australia and New Zealand
COL,Colombia,Americas,Latin America and the Caribbean
COM,Comoros,Africa,Sub-Saharan Africa
COG,Congo,Africa,Sub-Saharan Africa
COD,Congo (Democratic Republic Of The),Africa,Sub-Saharan Africa
COK,Cook Islands,Oceania,Polynesia
CRI,Costa Rica,Americas,Latin America and the Caribbean
CIV,Côte D'Ivoire,Africa,Sub-Saharan Africa
HRV,Croatia,Europe,Southern Europe
CUB,Cuba,Americas,Latin America and the Caribbean
CUW,Curaçao,Americas,Latin America and the Caribbean
CYP,Cyprus,Asia,Western Asia
CZE,Czech Republic,Europe,Eastern Europe
DNK,Denmark,Europe,Northern Europe
DJI,Djibouti,Africa,Sub-Saharan Africa
DMA,Dominica,Americas,Latin America and the Caribbean
DOM,Dominican Republic,Americas,Latin America and the Caribbean
ECU,Ecuador,Americas,Latin America and the Caribbean
EGY,Egypt,Africa,Northern Africa
SLV,El Salvador,Americas,Latin America and the Caribbean
GNQ,Equatorial Guinea,Africa,Sub-Saharan Africa
ERI,Eritrea,Africa,Sub-Saharan Africa
EST,Estonia,Europe,Northern Europe
SWZ,Eswatini,Africa,Sub-Saharan Africa
ETH,Ethiopia,Africa,Sub-Saharan Africa
FLK,Falkland Islands (Malvinas),Americas,Latin America and the Caribbean
FRO,Faroe Islands,Europe,Northern Europe
FJI,Fiji,Oceania,Melanesia
FIN,Finland,Europe,Northern Europe
FRA,France,Europe,Western Europe
GUF,French Guiana,Americas,Latin America and the Caribbean
PYF,French Polynesia,Oceania,Polynesia
ATF,French Southern Territories,Africa,Sub-Saharan Africa
GAB,Gabon,Africa,Sub-Saharan Africa
GMB,Gambia,Africa,Sub-Saharan Africa
GEO,Georgia,Asia,Western Asia
DEU,Germany,Europe,Western Europe
GHA,Ghana,Africa,Sub-Saharan Africa
GIB,Gibraltar,Europe,Southern Europe
GRC,Greece,Europe,Southern Europe
GRL,Greenland,Americas,Northern America
GRD,Grenada,Americas,Latin America and the Caribbean
GLP,Guadeloupe,Americas,Latin America and the Caribbean
GUM,Guam,Oceania,Micronesia
GTM,Guatemala,Americas,Latin America and the Caribbean
GGY,Guernsey,Europe,Northern Europe
GIN,Guinea,Africa,Sub-Saharan Africa
GNB,Guinea Bissau,Africa,Sub-Saharan Africa
GUY,Guyana,Americas,Latin America and the Caribbean
HTI,Haiti,Americas,Latin America and the Caribbean
HMD,Heard Island and McDonald Islands,Oceania,Australia and New Zealand
VAT,Holy See,Europe,Southern Europe
HND,Honduras,Americas,Latin America and the Caribbean
HKG,Hong Kong,Asia,Eastern Asia
HUN,Hungary,Europe,Eastern Europe
