country_code,country,distribution_losses_electricity,coal_peat_and_manufactured_gases,combustible_renewables,geothermal,hydro,natural_gas,nuclear,oil_and_petroleum_products,other_combustible_non-renewables,other_renewables,others,solar,wind,total_exports_electricity,total_imports_electricity,used_for_pumped_storage_electricity,GDPpermonth,date,populationpermonth
ARG,Argentina,0.0,254.968,103.72200000000001,0.0,1890.171,6962.605,356.18800000000005,1383.536,0.0,0.0,0.0,1.192,44.253,0.0,0.0,0.0,49562416666.666664,2015-04-01,42823655.333333336
ARG,Argentina,0.0,59.611999999999995,23.65,0.0,2367.2,6072.343000000001,717.686,1415.195,0.0,0.0,0.0,0.823,51.06399999999999,0.0,0.0,0.0,46460916666.666664,2016-04-01,43284766.666666664
ARG,Argentina,0.0,276.379,57.946999999999996,0.0,2149.589,6520.064,244.192,902.217,0.0,0.0,0.0,1.077,45.599,0.0,0.0,0.0,53635750000.0,2017-04-01,43741849.0
ARG,Argentina,0.0,189.0145,56.9715,0.0,2267.9021,7488.1914,580.6021,736.8802,0.0,0.0,0.0,1.7048,58.7371,0.0,0.0,0.0,43735000000.0,2018-04-01,44194708.0
ARG,Argentina,0.0,0.0,97.5631,0.0,1939.1236,6748.3905,643.5017,41.3014,0.0,0.0,0.0,49.9768,327.3478,0.0,0.0,0.0,37312916666.666664,2019-04-01,44642572.0
ARG,Argentina,0.0,0.0,119.7903,0.0,1378.2762,6370.1373,980.5793,16.0492,0.0,0.0,0.0,79.3179,606.377,0.0,0.0,0.0,32128333333.333332,2020-04-01,45084729.0
ARG,Argentina,0.0,260.5899,137.4805,0.0,1229.3087,6232.8836,534.0421,812.1362,0.0,0.0,0.0,144.6262,950.6949,0.0,0.0,0.0,40602250000.0,2021-04-01,45520757.666666664
ARG,Argentina,0.0,214.41400000000002,116.145,0.0,3343.3309999999997,5303.4980000000005,607.935,1645.941,0.0,0.0,0.0,1.12,51.677,0.0,0.0,0.0,49562416666.666664,2015-08-01,42977810.666666664
ARG,Argentina,0.0,281.98400000000004,23.982,0.0,2023.766,6693.468000000001,504.066,1591.317,0.0,0.0,0.0,1.297,44.938,0.0,0.0,0.0,46460916666.666664,2016-08-01,43437567.333333336
ARG,Argentina,0.0,184.201,139.01,0.0,2505.627,7423.24,627.465,589.612,0.0,0.0,0.0,1.3630000000000002,53.465,0.0,0.0,0.0,53635750000.0,2017-08-01,43893330.0
