country,country_code,year,month,gdp_per_month
Argentina,ARG,2010,01,35302250000.0
Argentina,ARG,2010,02,35302250000.0
Argentina,ARG,2010,03,35302250000.0
Argentina,ARG,2010,04,35302250000.0
Argentina,ARG,2010,05,35302250000.0
Argentina,ARG,2010,06,35302250000.0
Argentina,ARG,2010,07,35302250000.0
Argentina,ARG,2010,08,35302250000.0
Argentina,ARG,2010,09,35302250000.0
Argentina,ARG,2010,10,35302250000.0
Argentina,ARG,2010,11,35302250000.0
Argentina,ARG,2010,12,35302250000.0
Argentina,ARG,2011,01,44180250000.0
Argentina,ARG,2011,02,44180250000.0
Argentina,ARG,2011,03,44180250000.0
Argentina,ARG,2011,04,44180250000.0
Argentina,ARG,2011,05,44180250000.0
Argentina,ARG,2011,06,44180250000.0
Argentina,ARG,2011,07,44180250000.0
Argentina,ARG,2011,08,44180250000.0
Argentina,ARG,2011,09,44180250000.0
Argentina,ARG,2011,10,44180250000.0
Argentina,ARG,2011,11,44180250000.0
Argentina,ARG,2011,12,44180250000.0
Argentina,ARG,2012,01,45498500000.0
Argentina,ARG,2012,02,45498500000.0
Argentina,ARG,2012,03,45498500000.0
Argentina,ARG,2012,04,45498500000.0
Argentina,ARG,2012,05,45498500000.0
Argentina,ARG,2012,06,45498500000.0
Argentina,ARG,2012,07,45498500000.0
Argentina,ARG,2012,08,45498500000.0
Argentina,ARG,2012,09,45498500000.0
Argentina,ARG,2012,10,45498500000.0
Argentina,ARG,2012,11,45498500000.0
Argentina,ARG,2012,12,45498500000.0
Argentina,ARG,2013,01,46002083333.333336
Argentina,ARG,2013,02,46002083333.333336
Argentina,ARG,2013,03,46002083333.333336
Argentina,ARG,2013,04,46002083333.333336
Argentina,ARG,2013,05,46002083333.333336
Argentina,ARG,2013,06,46002083333.333336
Argentina,ARG,2013,07,46002083333.333336
Argentina,ARG,2013,08,46002083333.333336
Argentina,ARG,2013,09,46002083333.333336
Argentina,ARG,2013,10,46002083333.333336
Argentina,ARG,2013,11,46002083333.333336
Argentina,ARG,2013,12,46002083333.333336
Argentina,ARG,2014,01,43860000000.0
Argentina,ARG,2014,02,43860000000.0
Argentina,ARG,2014,03,43860000000.0
Argentina,ARG,2014,04,43860000000.0
Argentina,ARG,2014,05,43860000000.0
Argentina,ARG,2014,06,43860000000.0
Argentina,ARG,2014,07,43860000000.0
Argentina,ARG,2014,08,43860000000.0
Argentina,ARG,2014,09,43860000000.0
Argentina,ARG,2014,10,43860000000.0
Argentina,ARG,2014,11,43860000000.0
Argentina,ARG,2014,12,43860000000.0
Argentina,ARG,2015,01,49562416666.666664
Argentina,ARG,2015,02,49562416666.666664
Argentina,ARG,2015,03,49562416666.666664
Argentina,ARG,2015,04,49562416666.666664
Argentina,ARG,2015,05,49562416666.666664
Argentina,ARG,2015,06,49562416666.666664
Argentina,ARG,2015,07,49562416666.666664
Argentina,ARG,2015,08,49562416666.666664
Argentina,ARG,2015,09,49562416666.666664
Argentina,ARG,2015,10,49562416666.666664
Argentina,ARG,2015,11,49562416666.666664
Argentina,ARG,2015,12,49562416666.666664
Argentina,ARG,2016,01,46460916666.666664
Argentina,ARG,2016,02,46460916666.666664
Argentina,ARG,2016,03,46460916666.666664
Argentina,ARG,2016,04,46460916666.666664
Argentina,ARG,2016,05,46460916666.666664
Argentina,ARG,2016,06,46460916666.666664
Argentina,ARG,2016,07,46460916666.666664
Argentina,ARG,2016,08,46460916666.666664
Argentina,ARG,2016,09,46460916666.666664
Argentina,ARG,2016,10,46460916666.666664
Argentina,ARG,2016,11,46460916666.666664
Argentina,ARG,2016,12,46460916666.666664
Argentina,ARG,2017,01,53635750000.0
Argentina,ARG,2017,02,53635750000.0
Argentina,ARG,2017,03,53635750000.0
Argentina,ARG,2017,04,53635750000.0
Argentina,ARG,2017,05,53635750000.0
Argentina,ARG,2017,06,53635750000.0
Argentina,ARG,2017,07,53635750000.0
Argentina,ARG,2017,08,53635750000.0
Argentina,ARG,2017,09,53635750000.0
Argentina,ARG,2017,10,53635750000.0
Argentina,ARG,2017,11,53635750000.0
Argentina,ARG,2017,12,53635750000.0
Argentina,ARG,2018,01,43735000000.0
Argentina,ARG,2018,02,43735000000.0
