Country Code,Year,GDPPerMonth
ARG,2010,423627000000.0
ARG,2011,530163000000.0
ARG,2012,545982000000.0
ARG,2013,552024999999.9999
ARG,2014,526320000000.0
ARG,2015,594749000000.0001
ARG,2016,557531000000.0001
ARG,2017,643629000000.0
ARG,2018,524820000000.0
ARG,2019,447755000000.00006
ARG,2020,385539999999.99994
ARG,2021,487227000000.0
AUS,2010,1148610000000.0
AUS,2011,1398410000000.0
AUS,2012,1546890000000.0
AUS,2013,1576380000000.0
AUS,2014,1467549999999.9998
AUS,2015,1350620000000.0
AUS,2016,1206540000000.0
AUS,2017,1326520000000.0
AUS,2018,1428290000000.0
AUS,2019,1392230000000.0
AUS,2020,1326900000000.0
AUS,2021,1552670000000.0002
AUT,2010,392274999999.99994
AUT,2011,431685000000.0
AUT,2012,409401999999.99994
AUT,2013,430191000000.0
AUT,2014,442584999999.99994
AUT,2015,381971000000.00006
AUT,2016,395837000000.00006
AUT,2017,417261000000.0
AUT,2018,454991000000.00006
AUT,2019,444621000000.0
AUT,2020,435225000000.0
AUT,2021,480368000000.00006
BEL,2010,481421000000.00006
BEL,2011,523329999999.99994
BEL,2012,496152999999.99994
BEL,2013,521790999999.99994
BEL,2014,535389999999.99994
BEL,2015,462336000000.0
BEL,2016,476063000000.00006
BEL,2017,502764999999.99994
BEL,2018,543299000000.00006
BEL,2019,535830999999.99994
BEL,2020,525212000000.00006
BEL,2021,594104000000.0001
BGR,2010,50682061053.0
BGR,2011,57678241024.00001
BGR,2012,54300857424.0
BGR,2013,55810138435.99999
BGR,2014,57082011259.99999
BGR,2015,50781996712.99999
BGR,2016,53953897624.00001
BGR,2017,59199447421.00001
BGR,2018,66363537115.00001
BGR,2019,68915875215.0
BGR,2020,70240275010.00002
BGR,2021,84056312734.0
BRA,2010,2208870000000.0
BRA,2011,2616200000000.0
BRA,2012,2465190000000.0
BRA,2013,2472810000000.0
BRA,2014,2455990000000.0
BRA,2015,1802210000000.0002
BRA,2016,1795700000000.0002
BRA,2017,2063510000000.0002
BRA,2018,1916949999999.9998
BRA,2019,1873269999999.9998
BRA,2020,1448560000000.0
BRA,2021,1608980000000.0002
CAN,2010,1617339999999.9998
CAN,2011,1793330000000.0002
CAN,2012,1828370000000.0002
CAN,2013,1846599999999.9998
CAN,2014,1805750000000.0002
CAN,2015,1556510000000.0002
CAN,2016,1527990000000.0
CAN,2017,1649270000000.0002
CAN,2018,1725330000000.0
CAN,2019,1742019999999.9998
CAN,2020,1645419999999.9998
CAN,2021,1988340000000.0
CHE,2010,598851000000.0
CHE,2011,715888000000.0
CHE,2012,686420000000.0
CHE,2013,706235000000.0
CHE,2014,726538000000.0
CHE,2015,694118000000.0
CHE,2016,687895000000.0
CHE,2017,695201000000.0
CHE,2018,725569000000.0
CHE,2019,721369000000.0
CHE,2020,739914000000.0
CHE,2021,800640000000.0
CHL,2010,217105000000.00003
CHL,2011,251224999999.99997
CHL,2012,267175999999.99997
CHL,2013,277239000000.0
CHL,2014,259405000000.00003
CHL,2015,242497000000.00003
CHL,2016,249298999999.99997
CHL,2017,276364999999.99994
CHL,2018,295402999999.99994
CHL,2019,278584999999.99994
CHL,2020,252727000000.00003
CHL,2021,317059000000.0
CHN,2010,6087159999999.999
CHN,2011,7551500000000.001
CHN,2012,8532230000000.001
CHN,2013,9570410000000.002
CHN,2014,10475700000000.0
CHN,2015,11061600000000.0
CHN,2016,11233300000000.0
CHN,2017,12310399999999.998
CHN,2018,13894800000000.0
CHN,2019,14279899999999.998
CHN,2020,14687700000000.0
CHN,2021,17734099999999.996
COL,2010,286563000000.0
COL,2011,334944000000.0
COL,2012,370920999999.99994
COL,2013,382116000000.0
COL,2014,381111999999.99994
COL,2015,293482000000.00006
COL,2016,282825000000.0
COL,2017,311884000000.0
COL,2018,334198000000.0
COL,2019,323110000000.0
COL,2020,270300000000.0
COL,2021,314464000000.0
CRI,2010,37658614803.0
CRI,2011,42762617082.0
CRI,2012,47231651863.00001
CRI,2013,50949672205.99999
CRI,2014,52016408950.99999
CRI,2015,56441917653.0
CRI,2016,58847016045.0
CRI,2017,60516043590.0
CRI,2018,62420165100.0
CRI,2019,64417670083.00001
CRI,2020,62158002232.99999
CRI,2021,64282438666.99999
CYP,2010,25800247911.999996
CYP,2011,27642086580.999996
CYP,2012,25048659900.0
CYP,2013,23961144906.0
CYP,2014,23226782250.999996
CYP,2015,19909190059.0
CYP,2016,21046951516.0
CYP,2017,22946726163.999996
CYP,2018,25596474965.000004
CYP,2019,25944504645.999996
CYP,2020,25008448886.000004
CYP,2021,28407867534.0
CZE,2010,209070000000.0
CZE,2011,229563000000.0
CZE,2012,208858000000.00003
CZE,2013,211686000000.0
CZE,2014,209359000000.00003
CZE,2015,188032999999.99997
CZE,2016,196272000000.0
CZE,2017,218629000000.00003
CZE,2018,249001000000.00003
CZE,2019,252547999999.99997
CZE,2020,245974999999.99997
CZE,2021,281778000000.0
DEU,2010,3399670000000.0005
DEU,2011,3749310000000.0
DEU,2012,3527140000000.0005
DEU,2013,3733800000000.0
DEU,2014,3889090000000.0005
DEU,2015,3357589999999.9995
DEU,2016,3469849999999.9995
DEU,2017,3690850000000.0005
DEU,2018,3974440000000.0005
DEU,2019,3888229999999.9995
DEU,2020,3889669999999.9995
