Country,Country Code,Year,Month,PopulationPerMonth
Argentina,ARG,2010,01,40693014.25
Argentina,ARG,2011,01,40827872.75
Argentina,ARG,2012,01,41300805.083333336
Argentina,ARG,2013,01,41772409.666666664
Argentina,ARG,2014,01,42241815.416666664
Argentina,ARG,2015,01,42708038.833333336
Argentina,ARG,2016,01,43170166.166666664
Argentina,ARG,2017,01,43628238.25
Argentina,ARG,2018,01,44082285.25
Argentina,ARG,2019,01,44531519.5
Argentina,ARG,2020,01,44975216.25
Argentina,ARG,2021,01,45412761.666666664
Australia,AUS,2010,01,21719994.416666668
Australia,AUS,2011,01,22057439.5
Australia,AUS,2012,01,22372810.75
Australia,AUS,2013,01,22766353.666666668
Australia,AUS,2014,01,23157092.083333332
Australia,AUS,2015,01,23504045.083333332
Australia,AUS,2016,01,23847237.666666668
Australia,AUS,2017,01,24224514.916666668
Australia,AUS,2018,01,24625238.75
Australia,AUS,2019,01,24997774.166666668
Australia,AUS,2020,01,25366473.0
Australia,AUS,2021,01,25658021.5
Austria,AUT,2010,01,8344996.416666667
Austria,AUT,2011,01,8365757.25
Austria,AUT,2012,01,8394838.666666666
Austria,AUT,2013,01,8434143.666666666
Austria,AUT,2014,01,8485367.416666666
Austria,AUT,2015,01,8554384.583333334
Austria,AUT,2016,01,8650529.75
Austria,AUT,2017,01,8741742.833333334
Austria,AUT,2018,01,8801145.583333334
Austria,AUT,2019,01,8843804.25
Austria,AUT,2020,01,8882998.666666666
Austria,AUT,2021,01,8920108.416666666
Belgium,BEL,2010,01,10804750.75
Belgium,BEL,2011,01,10907475.833333334
Belgium,BEL,2012,01,11043986.333333334
Belgium,BEL,2013,01,11111304.916666666
Belgium,BEL,2014,01,11163544.5
Belgium,BEL,2015,01,11214485.25
Belgium,BEL,2016,01,11278964.833333334
Belgium,BEL,2017,01,11335066.666666666
Belgium,BEL,2018,01,11379482.666666666
Belgium,BEL,2019,01,11432214.5
Belgium,BEL,2020,01,11493115.333333334
Belgium,BEL,2021,01,11543133.0
Brazil,BRA,2010,01,194670544.25
Brazil,BRA,2011,01,196506142.83333334
Brazil,BRA,2012,01,198334669.08333334
Brazil,BRA,2013,01,200123045.33333334
Brazil,BRA,2014,01,201866590.58333334
Brazil,BRA,2015,01,203603696.25
Brazil,BRA,2016,01,205327486.08333334
Brazil,BRA,2017,01,206996693.16666666
Brazil,BRA,2018,01,208643429.33333334
Brazil,BRA,2019,01,210301282.5
Brazil,BRA,2020,01,211900663.5
Brazil,BRA,2021,01,213290463.91666666
Bulgaria,BGR,2010,01,7440372.666666667
Bulgaria,BGR,2011,01,7391659.75
Bulgaria,BGR,2012,01,7344791.333333333
Bulgaria,BGR,2013,01,7302490.25
Bulgaria,BGR,2014,01,7261683.583333333
Bulgaria,BGR,2015,01,7220109.083333333
Bulgaria,BGR,2016,01,7173810.25
Bulgaria,BGR,2017,01,7123499.083333333
Bulgaria,BGR,2018,01,7071704.5
Bulgaria,BGR,2019,01,7020930.666666667
Bulgaria,BGR,2020,01,6972282.166666667
Bulgaria,BGR,2021,01,6929325.666666667
Canada,CAN,2010,01,33660227.833333336
Canada,CAN,2011,01,34032758.916666664
Canada,CAN,2012,01,34370569.166666664
Canada,CAN,2013,01,34744949.666666664
Canada,CAN,2014,01,35112494.083333336
Canada,CAN,2015,01,35459557.75
Canada,CAN,2016,01,35736789.583333336
Canada,CAN,2017,01,36145799.416666664
Canada,CAN,2018,01,36588556.666666664
Canada,CAN,2019,01,37109762.833333336
Canada,CAN,2020,01,37637561.166666664
Canada,CAN,2021,01,38054612.666666664
Chile,CHL,2010,01,16847673.25
Chile,CHL,2011,01,17018279.583333332
Chile,CHL,2012,01,17187589.5
Chile,CHL,2013,01,17355783.833333332
Chile,CHL,2014,01,17524690.25
Chile,CHL,2015,01,17702359.333333332
Chile,CHL,2016,01,17887936.916666668
Chile,CHL,2017,01,18107603.833333332
Chile,CHL,2018,01,18396316.416666668
Chile,CHL,2019,01,18729619.583333332
Chile,CHL,2020,01,19061220.833333332
Chile,CHL,2021,01,19316387.416666668
Colombia,COL,2010,01,44355766.25
Colombia,COL,2011,01,44857173.916666664
Colombia,COL,2012,01,45348358.833333336
Colombia,COL,2013,01,45820376.416666664
Colombia,COL,2014,01,46274598.083333336
Colombia,COL,2015,01,46714762.083333336
Colombia,COL,2016,01,47161913.583333336
Colombia,COL,2017,01,47686431.333333336
Colombia,COL,2018,01,48428778.5
Colombia,COL,2019,01,49352831.416666664
Colombia,COL,2020,01,50249344.0
Colombia,COL,2021,01,50979487.0
Costa Rica,CRI,2010,01,4568054.083333333
Costa Rica,CRI,2011,01,4627058.166666667
Costa Rica,CRI,2012,01,4684648.25
Costa Rica,CRI,2013,01,4741171.5
Costa Rica,CRI,2014,01,4795931.083333333
Costa Rica,CRI,2015,01,4848534.166666667
Costa Rica,CRI,2016,01,4899405.583333333
Costa Rica,CRI,2017,01,4949258.083333333
Costa Rica,CRI,2018,01,4997749.666666667
Costa Rica,CRI,2019,01,5044383.833333333
Costa Rica,CRI,2020,01,5087746.416666667
Costa Rica,CRI,2021,01,5125676.0
Croatia,HRV,2010,01,4304368.166666667
Croatia,HRV,2011,01,4294193.25
Croatia,HRV,2012,01,4279533.333333333
Croatia,HRV,2013,01,4266568.916666667
Croatia,HRV,2014,01,4254247.333333333
Croatia,HRV,2015,01,4235490.25
Croatia,HRV,2016,01,4201166.083333333
Croatia,HRV,2017,01,4170197.5
Croatia,HRV,2018,01,4121473.6666666665
Croatia,HRV,2019,01,4085960.5
Croatia,HRV,2020,01,4063788.5833333335
Croatia,HRV,2021,01,4035290.0
Cyprus,CYP,2010,01,1112533.3333333333
Cyprus,CYP,2011,01,1130969.3333333333
Cyprus,CYP,2012,01,1146041.8333333333
Cyprus,CYP,2013,01,1157423.6666666667
Cyprus,CYP,2014,01,1167803.5833333333
Cyprus,CYP,2015,01,1177852.0833333333
Cyprus,CYP,2016,01,1188163.4166666667
Cyprus,CYP,2017,01,1198767.8333333333
Cyprus,CYP,2018,01,1209382.0
Cyprus,CYP,2019,01,1219664.75
Cyprus,CYP,2020,01,1229561.0833333333
Cyprus,CYP,2021,01,1238091.25
Czech Republic,CZE,2010,01,10446475.5
Czech Republic,CZE,2011,01,10476216.5
Czech Republic,CZE,2012,01,10497312.75
Czech Republic,CZE,2013,01,10511075.583333334
Czech Republic,CZE,2014,01,10515194.916666666
Czech Republic,CZE,2015,01,10527073.0
Czech Republic,CZE,2016,01,10547748.416666666
Czech Republic,CZE,2017,01,10568674.166666666
Czech Republic,CZE,2018,01,10597395.5
Czech Republic,CZE,2019,01,10633423.166666666
Czech Republic,CZE,2020,01,10674035.666666666
Czech Republic,CZE,2021,01,10681850.833333334
Denmark,DNK,2010,01,5525144.0
Denmark,DNK,2011,01,5549590.416666667
Denmark,DNK,2012,01,5572322.0
Denmark,DNK,2013,01,5593518.666666667
Denmark,DNK,2014,01,5617310.583333333
Denmark,DNK,2015,01,5646809.0
Denmark,DNK,2016,01,5687193.583333333
Denmark,DNK,2017,01,5731090.833333333
Denmark,DNK,2018,01,5767368.0
Denmark,DNK,2019,01,5795368.166666667
Denmark,DNK,2020,01,5815837.166666667
Denmark,DNK,2021,01,5833514.75
Estonia,EST,2010,01,1334261.6666666667
Estonia,EST,2011,01,1331138.6666666667
Estonia,EST,2012,01,1327043.75
Estonia,EST,2013,01,1322304.4166666667
Estonia,EST,2014,01,1317709.3333333333
Estonia,EST,2015,01,1314616.8333333333
Estonia,EST,2016,01,1315438.9166666667
Estonia,EST,2017,01,1315922.8333333333
Estonia,EST,2018,01,1317766.75
Estonia,EST,2019,01,1322387.0833333333
Estonia,EST,2020,01,1327116.6666666667
Estonia,EST,2021,01,1329639.5
Finland,FIN,2010,01,5340911.083333333
Finland,FIN,2011,01,5365428.666666667
Finland,FIN,2012,01,5390413.583333333
Finland,FIN,2013,01,5416054.416666667
Finland,FIN,2014,01,5440850.333333333
Finland,FIN,2015,01,5463013.583333333
Finland,FIN,2016,01,5480845.333333333
Finland,FIN,2017,01,5496378.916666667
Finland,FIN,2018,01,5508823.25
Finland,FIN,2019,01,5516031.75
Finland,FIN,2020,01,5522267.416666667
Finland,FIN,2021,01,5530499.166666667
France,FRA,2010,01,64737520.333333336
France,FRA,2011,01,65056796.5
France,FRA,2012,01,65371650.25
France,FRA,2013,01,65690577.416666664
France,FRA,2014,01,66028103.833333336
France,FRA,2015,01,66331750.75
France,FRA,2016,01,66562924.666666664
France,FRA,2017,01,66740263.666666664
France,FRA,2018,01,66938047.333333336
France,FRA,2019,01,67177485.75
France,FRA,2020,01,67403259.83333333
France,FRA,2021,01,67585984.08333333
Germany,DEU,2010,01,81891858.91666667
Germany,DEU,2011,01,81651767.75
Germany,DEU,2012,01,80287553.0
Germany,DEU,2013,01,80444138.16666667
Germany,DEU,2014,01,80673679.58333333
Germany,DEU,2015,01,81041175.91666667
Germany,DEU,2016,01,81741782.5
Germany,DEU,2017,01,82374363.41666667
Germany,DEU,2018,01,82677733.66666667
Germany,DEU,2019,01,82921380.33333333
Germany,DEU,2020,01,83098621.08333333
Germany,DEU,2021,01,83163804.91666667
Greece,GRC,2010,01,11108210.666666666
Greece,GRC,2011,01,11119970.833333334
Greece,GRC,2012,01,11099908.333333334
Greece,GRC,2013,01,11038361.0
Greece,GRC,2014,01,10959144.5
Greece,GRC,2015,01,10886452.166666666
Greece,GRC,2016,01,10817140.333333334
Greece,GRC,2017,01,10774196.666666666
Greece,GRC,2018,01,10752862.583333334
Greece,GRC,2019,01,10731940.333333334
Greece,GRC,2020,01,10719666.75
Greece,GRC,2021,01,10693817.5
Hungary,HUN,2010,01,10020764.416666666
Hungary,HUN,2011,01,9997665.0
Hungary,HUN,2012,01,9967446.583333334
Hungary,HUN,2013,01,9918088.666666666
Hungary,HUN,2014,01,9890864.166666666
Hungary,HUN,2015,01,9864514.666666666
Hungary,HUN,2016,01,9840610.916666666
Hungary,HUN,2017,01,9811851.583333334
Hungary,HUN,2018,01,9786932.5
Hungary,HUN,2019,01,9775195.416666666
Hungary,HUN,2020,01,9769391.666666666
Hungary,HUN,2021,01,9746794.166666666
Iceland,ISL,2010,01,318460.8333333333
Iceland,ISL,2011,01,318122.0833333333
Iceland,ISL,2012,01,319155.8333333333
Iceland,ISL,2013,01,320970.0
Iceland,ISL,2014,01,324065.8333333333
Iceland,ISL,2015,01,327671.75
Iceland,ISL,2016,01,331200.3333333333
Iceland,ISL,2017,01,336102.4166666667
Iceland,ISL,2018,01,344176.75
Iceland,ISL,2019,01,353374.5
Iceland,ISL,2020,01,361054.6666666667
Iceland,ISL,2021,01,366967.75
India,IND,2010,01,1225054615.0
India,IND,2011,01,1242030917.5833333
India,IND,2012,01,1259026693.0
India,IND,2013,01,1275874285.6666667
India,IND,2014,01,1292474933.5
India,IND,2015,01,1308548175.3333333
India,IND,2016,01,1324180657.9166667
India,IND,2017,01,1339932951.6666667
India,IND,2018,01,1355429648.8333333
India,IND,2019,01,1370179034.6666667
India,IND,2020,01,1384218306.4166667
India,IND,2021,01,1397318519.9166667
Ireland,IRL,2010,01,4537440.0
Ireland,IRL,2011,01,4561815.75
Ireland,IRL,2012,01,4581704.75
Ireland,IRL,2013,01,4601556.583333333
Ireland,IRL,2014,01,4626643.0
Ireland,IRL,2015,01,4661424.75
Ireland,IRL,2016,01,4706405.166666667
Ireland,IRL,2017,01,4759672.75
Ireland,IRL,2018,01,4812382.0
Ireland,IRL,2019,01,4872901.333333333
Ireland,IRL,2020,01,4938593.5
Ireland,IRL,2021,01,4989363.916666667
Italy,ITA,2010,01,59110536.0
Italy,ITA,2011,01,59285919.666666664
Italy,ITA,2012,01,59392804.666666664
Italy,ITA,2013,01,59597569.583333336
Italy,ITA,2014,01,60280214.0
Italy,ITA,2015,01,60784260.166666664
Italy,ITA,2016,01,60721991.666666664
Italy,ITA,2017,01,60619932.25
Italy,ITA,2018,01,60527129.916666664
Italy,ITA,2019,01,60364036.75
Italy,ITA,2020,01,59704895.166666664
Italy,ITA,2021,01,59411419.083333336
Japan,JPN,2010,01,128048916.66666667
Japan,JPN,2011,01,128050250.0
Japan,JPN,2012,01,127816000.0
Japan,JPN,2013,01,127613666.66666667
Japan,JPN,2014,01,127430916.66666667
Japan,JPN,2015,01,127264750.0
Japan,JPN,2016,01,127135583.33333333
Japan,JPN,2017,01,127067333.33333333
Japan,JPN,2018,01,126958583.33333333
Japan,JPN,2019,01,126796166.66666667
Japan,JPN,2020,01,126602000.0
Japan,JPN,2021,01,126212716.08333333
Korea,KOR,2010,01,49328358.083333336
Korea,KOR,2011,01,49585989.166666664
Korea,KOR,2012,01,49958572.583333336
Korea,KOR,2013,01,50218939.666666664
Korea,KOR,2014,01,50455373.5
Korea,KOR,2015,01,50769016.333333336
Korea,KOR,2016,01,51031851.666666664
Korea,KOR,2017,01,51229812.0
Korea,KOR,2018,01,51380506.583333336
Korea,KOR,2019,01,51600038.333333336
Korea,KOR,2020,01,51770773.416666664
Korea,KOR,2021,01,51828625.416666664
Latvia,LVA,2010,01,2137992.8333333335
Latvia,LVA,2011,01,2094401.1666666667
Latvia,LVA,2012,01,2057593.1666666667
Latvia,LVA,2013,01,2032513.0
Latvia,LVA,2014,01,2011074.9166666667
Latvia,LVA,2015,01,1992427.4166666667
Latvia,LVA,2016,01,1976027.8333333333
Latvia,LVA,2017,01,1958096.25
Latvia,LVA,2018,01,1940991.8333333333
Latvia,LVA,2019,01,1926061.3333333333
Latvia,LVA,2020,01,1912707.5833333333
Latvia,LVA,2021,01,1899119.0833333333
Lithuania,LTU,2010,01,3157446.5
Lithuania,LTU,2011,01,3091518.0833333335
Lithuania,LTU,2012,01,3024753.1666666665
Lithuania,LTU,2013,01,2985266.0
Lithuania,LTU,2014,01,2955578.8333333335
Lithuania,LTU,2015,01,2930078.9166666665
Lithuania,LTU,2016,01,2901853.4166666665
Lithuania,LTU,2017,01,2864912.0
Lithuania,LTU,2018,01,2826164.6666666665
Lithuania,LTU,2019,01,2800925.8333333335
Lithuania,LTU,2020,01,2794199.3333333335
Lithuania,LTU,2021,01,2795381.1666666665
Luxembourg,LUX,2010,01,498547.1666666667
Luxembourg,LUX,2011,01,507902.5
Luxembourg,LUX,2012,01,519396.9166666667
Luxembourg,LUX,2013,01,531980.5
Luxembourg,LUX,2014,01,544439.9166666666
Luxembourg,LUX,2015,01,557426.0833333334
Luxembourg,LUX,2016,01,570638.1666666666
Luxembourg,LUX,2017,01,583207.5
Luxembourg,LUX,2018,01,597303.8333333334
Luxembourg,LUX,2019,01,608954.25
Luxembourg,LUX,2020,01,620869.1666666666
Luxembourg,LUX,2021,01,631222.75
Malta,MLT,2010,01,412646.25
Malta,MLT,2011,01,414654.6666666667
Malta,MLT,2012,01,416581.3333333333
Malta,MLT,2013,01,420522.9166666667
Malta,MLT,2014,01,426682.9166666667
Malta,MLT,2015,01,435432.5833333333
Malta,MLT,2016,01,445911.5833333333
Malta,MLT,2017,01,456409.5833333333
Malta,MLT,2018,01,469384.9166666667
Malta,MLT,2019,01,486249.3333333333
Malta,MLT,2020,01,505001.1666666667
Malta,MLT,2021,01,515599.0
Mexico,MEX,2010,01,111173009.08333333
Mexico,MEX,2011,01,112667241.0
Mexico,MEX,2012,01,114284266.66666667
Mexico,MEX,2013,01,115883807.08333333
Mexico,MEX,2014,01,117412786.08333333
Mexico,MEX,2015,01,118872054.5
Mexico,MEX,2016,01,120264007.33333333
Mexico,MEX,2017,01,121629224.08333333
Mexico,MEX,2018,01,122937141.58333333
Mexico,MEX,2019,01,124103148.5
Mexico,MEX,2020,01,125161393.58333333
