Country,Country Code,AverageTemperature,Year,Months,TempDiff,YearMonth
Argentina,ARG,20.274,2009,12,0.0,200912
Argentina,ARG,20.987000000000002,2010,1,0.713,201001
Argentina,ARG,21.316000000000003,2010,2,0.32899999999999996,201002
Argentina,ARG,22.742,2010,3,1.426,201003
Argentina,ARG,22.558,2010,4,-0.184,201004
Argentina,ARG,22.086,2010,5,-0.47200000000000003,201005
Argentina,ARG,22.636,2010,6,0.55,201006
Argentina,ARG,21.596,2010,7,-1.04,201007
Argentina,ARG,20.835,2010,8,-0.7609999999999999,201008
Argentina,ARG,21.061,2010,9,0.226,201009
Argentina,ARG,21.209,2010,10,0.14800000000000002,201010
Argentina,ARG,21.019,2010,11,-0.19,201011
Argentina,ARG,21.543,2010,12,0.524,201012
Argentina,ARG,22.14,2011,1,0.597,201101
Argentina,ARG,22.114,2011,2,-0.026000000000000002,201102
Argentina,ARG,22.262,2011,3,0.14800000000000002,201103
Argentina,ARG,23.011,2011,4,0.7490000000000001,201104
Argentina,ARG,23.095,2011,5,0.084,201105
Argentina,ARG,23.134,2011,6,0.039,201106
Argentina,ARG,22.728,2011,7,-0.406,201107
Argentina,ARG,21.917,2011,8,-0.8109999999999999,201108
Argentina,ARG,23.202,2011,9,1.285,201109
Argentina,ARG,23.263,2011,10,0.061,201110
Argentina,ARG,24.503,2011,11,1.24,201111
Argentina,ARG,25.165,2011,12,0.662,201112
Argentina,ARG,26.72,2012,1,1.555,201201
Argentina,ARG,27.56,2012,2,0.84,201202
Argentina,ARG,28.423,2012,3,0.863,201203
Argentina,ARG,28.627,2012,4,0.204,201204
Argentina,ARG,29.706,2012,5,1.079,201205
Argentina,ARG,29.968,2012,6,0.262,201206
Argentina,ARG,28.675,2012,7,-1.2930000000000001,201207
Argentina,ARG,29.575,2012,8,0.9,201208
Argentina,ARG,31.019,2012,9,1.444,201209
Argentina,ARG,31.906,2012,10,0.887,201210
Argentina,ARG,33.064,2012,11,1.158,201211
Argentina,ARG,33.526,2012,12,0.462,201212
Argentina,ARG,34.415000000000006,2013,1,0.889,201301
Argentina,ARG,34.949000000000005,2013,2,0.534,201302
Argentina,ARG,33.85300000000001,2013,3,-1.0959999999999999,201303
Argentina,ARG,35.34400000000001,2013,4,1.4909999999999999,201304
Argentina,ARG,35.61300000000001,2013,5,0.26899999999999996,201305
Argentina,ARG,36.88900000000001,2013,6,1.276,201306
Argentina,ARG,36.96700000000001,2013,7,0.078,201307
Argentina,ARG,36.24500000000001,2013,8,-0.722,201308
Argentina,ARG,35.698000000000015,2013,9,-0.547,201309
Argentina,ARG,36.929000000000016,2013,10,1.2309999999999999,201310
Argentina,ARG,37.512000000000015,2013,11,0.583,201311
Argentina,ARG,39.77900000000002,2013,12,2.267,201312
Argentina,ARG,40.868000000000016,2014,1,1.089,201401
Argentina,ARG,40.93400000000002,2014,2,0.066,201402
Argentina,ARG,40.12200000000002,2014,3,-0.812,201403
Argentina,ARG,40.328000000000024,2014,4,0.20600000000000002,201404
Argentina,ARG,40.67600000000002,2014,5,0.348,201405
Argentina,ARG,41.42000000000002,2014,6,0.7440000000000001,201406
