Country,Country Code
Argentina,ARG
Australia,AUS
Austria,AUT
Belgium,BEL
Brazil,BRA
Bulgaria,BGR
Canada,CAN
Chile,CHL
Colombia,COL
Costa Rica,CRI
Croatia,HRV
Cyprus,CYP
Czech Republic,CZE
Denmark,DNK
Estonia,EST
Finland,FIN
France,FRA
Germany,DEU
Greece,GRC
Hungary,HUN
Iceland,ISL
India,IND
Ireland,IRL
Italy,ITA
Japan,JPN
Korea,KOR
Latvia,LVA
Lithuania,LTU
Luxembourg,LUX
Malta,MLT
Mexico,MEX
Netherlands,NLD
New Zealand,NZL
North Macedonia,MKD
Norway,NOR
China,CHN
Poland,POL
Portugal,PRT
Turkey,TUR
Romania,ROU
Serbia,SRB
Slovak Republic,SVK
Slovenia,SVN
Spain,ESP
Sweden,SWE
Switzerland,CHE
United Kingdom,GBR
United States,USA
