AverageTemperature,AverageTemperatureUncertainty,Country,Year,Month
-0.823,0.427,��land,2009,12
3.88,0.455,Afghanistan,2009,12
22.738,0.222,Africa,2009,12
7.522,0.369,Albania,2009,12
15.889,0.345,Algeria,2009,12
26.9,0.47,American Samoa,2009,12
4.789,0.168,Andorra,2009,12
23.457,0.694,Angola,2009,12
26.865,0.313,Anguilla,2009,12
,0.59,Antarctica,2009,12
26.716,0.267,Antigua And Barbuda,2009,12
20.274,0.276,Argentina,2009,12
1.479,0.513,Armenia,2009,12
28.514,0.336,Aruba,2009,12
-5.494,0.125,Asia,2009,12
28.021,0.187,Australia,2009,12
-2.061,0.363,Austria,2009,12
4.255,0.438,Azerbaijan,2009,12
24.321,0.379,Bahamas,2009,12
19.076,0.43,Bahrain,2009,12
26.034,0.182,Baker Island,2009,12
19.311,0.24,Bangladesh,2009,12
27.092,0.32,Barbados,2009,12
-3.973,0.179,Belarus,2009,12
2.2,0.222,Belgium,2009,12
24.13,0.268,Belize,2009,12
28.039,0.349,Benin,2009,12
5.547,0.218,Bhutan,2009,12
22.959,0.299,Bolivia,2009,12
27.823,0.263,"Bonaire, Saint Eustatius And Saba",2009,12
3.481,0.485,Bosnia And Herzegovina,2009,12
27.337,0.448,Botswana,2009,12
25.998,0.161,Brazil,2009,12
26.798,0.246,British Virgin Islands,2009,12
3.379,0.285,Bulgaria,2009,12
26.943,0.322,Burkina Faso,2009,12
20.049,0.337,Burma,2009,12
20.128,0.334,Burundi,2009,12
26.567,0.303,Cote D'Ivoire,2009,12
25.862,0.26,Cambodia,2009,12
24.83,0.292,Cameroon,2009,12
-17.948,0.193,Canada,2009,12
24.553,0.966,Cape Verde,2009,12
26.608,0.373,Cayman Islands,2009,12
25.046,0.593,Central African Republic,2009,12
23.502,1.295,Chad,2009,12
12.976,0.232,Chile,2009,12
-6.128,0.159,China,2009,12
26.812,0.365,Christmas Island,2009,12
26.058,0.273,Colombia,2009,12
27.983,0.32,Comoros,2009,12
