Country,Time,Distribution Losses Electricity,"Net Electricity Production Coal, Peat and Manufactured Gases",Net Electricity Production Combustible Renewables,Net Electricity Production Geothermal,Net Electricity Production Hydro,Net Electricity Production Natural Gas,Net Electricity Production Not Specified,Net Electricity Production Nuclear,Net Electricity Production Oil and Petroleum Products,Net Electricity Production Other Combustible Non-Renewables,Net Electricity Production Other Renewables,Net Electricity Production Solar,Net Electricity Production Wind,Total Exports Electricity,Total Imports Electricity,Used for pumped storage Electricity
Argentina,Apr-15,,254.968,103.72200000000001,0.0,1890.171,6962.605,,356.18800000000005,1383.536,0.0,0.0,1.192,44.253,,,
Argentina,Apr-16,,59.611999999999995,23.65,0.0,2367.2,6072.343000000001,,717.686,1415.195,0.0,,0.823,51.06399999999999,,,
Argentina,Apr-17,,276.379,57.946999999999996,0.0,2149.589,6520.064,,244.192,902.217,0.0,,1.077,45.599,,,
Argentina,Apr-18,,189.0145,56.9715,0.0,2267.9021,7488.1914,0.0,580.6021,736.8802,0.0,0.0,1.7048,58.7371,,,
Argentina,Apr-19,,0.0,97.5631,0.0,1939.1236,6748.3905,0.0,643.5017,41.3014,0.0,0.0,49.9768,327.3478,,,
Argentina,Apr-20,,0.0,119.7903,0.0,1378.2762,6370.1373,0.0,980.5793,16.0492,0.0,0.0,79.3179,606.377,,,
Argentina,Apr-21,,260.5899,137.4805,0.0,1229.3087,6232.8836,0.0,534.0421,812.1362,0.0,0.0,144.6262,950.6949,,,
Argentina,Apr-22,,255.5503,170.1682,,1736.2156,5395.0922,,661.3989,800.2729,,,227.9239,1205.4749,,,
Argentina,Aug-15,,214.41400000000002,116.145,0.0,3343.3309999999997,5303.4980000000005,,607.935,1645.941,0.0,0.0,1.12,51.677,,,
Argentina,Aug-16,,281.98400000000004,23.982,0.0,2023.766,6693.468000000001,,504.066,1591.317,0.0,,1.297,44.938,,,
Argentina,Aug-17,,184.201,139.01,0.0,2505.627,7423.24,,627.465,589.612,0.0,,1.3630000000000002,53.465,,,
Argentina,Aug-18,,277.1856,155.4577,0.0,2766.191,7640.3211,0.0,671.1736,552.0654,0.0,0.0,7.251,135.8003,,,
Argentina,Aug-19,,0.0,159.0972,0.0,2571.468,7072.4324,0.0,870.3589999999999,278.6812,0.0,0.0,66.3814,443.5897,,,
Argentina,Aug-20,,320.9284,226.1044,0.0,1967.9629,6389.8907,0.0,895.9666,514.0404,0.0,0.0,85.8353,920.9252,,,
Argentina,Aug-21,,268.2275,220.4112,0.0,1292.0849,8029.2923,0.0,1068.5919,666.5549,0.0,0.0,164.1248,1193.3985,,,
Argentina,Aug-22,,195.7609,214.1896,,2087.5529,5322.63,,953.623,1258.4343,,,229.2928,1165.2652,,,
Argentina,Dec-15,,228.149,76.337,0.0,2868.5370000000003,6265.463000000001,,976.5169999999999,1675.46,0.0,0.0,1.465,55.301,,,
Argentina,Dec-16,,233.18099999999998,25.409000000000002,0.0,2603.387,7295.052,,535.9680000000001,1816.128,0.0,,1.4769999999999999,54.544,,,
Argentina,Dec-17,,164.896,97.78299999999999,0.0,2971.6059999999998,7903.744000000001,,656.872,687.648,0.0,,1.7009999999999998,66.49600000000001,,,
Argentina,Dec-18,,0.0,96.7115,0.0,3189.3956,7169.6647,0.0,214.6634,85.1458,0.0,0.0,38.7888,256.9093,,,
Argentina,Dec-19,,235.9043,135.7053,0.0,2381.3022,7418.1718,0.0,733.9571,120.1795,0.0,0.0,117.3301,598.3938,,,
Argentina,Dec-20,,343.7514,237.56400000000002,0.0,1859.0645,7148.6772,0.0,698.1081,1130.5938,0.0,0.0,214.2726,1014.044,,,
Argentina,Dec-21,,240.2345,178.0965,0.0,1580.2811,7535.329000000001,0.0,1030.7934,1309.6775,0.0,0.0,248.2187,1096.5491,,,
Argentina,Dec-22,,254.477,185.5859,,2294.9931,5570.1858,,395.4625,2170.0778,,,297.9271,1220.1606,,,
Argentina,Feb-15,,203.21099999999998,49.518,0.0,2032.279,6673.424,,610.064,1670.965,0.0,0.0,1.262,42.504,,,
Argentina,Feb-16,,250.33700000000002,42.15,0.0,2642.5609999999997,7174.517,,672.296,1872.046,0.0,,1.32,44.431999999999995,,,
Argentina,Feb-17,,231.919,93.89,0.0,2462.237,6928.183000000001,,640.168,1302.3010000000002,0.0,,1.235,41.371,,,
Argentina,Feb-18,,246.1544,65.5695,0.0,2442.0404,7495.6857,0.0,577.4931,1060.8005,0.0,0.0,1.411,45.4189,,,
Argentina,Feb-19,,123.1177,81.9778,0.0,1982.7133,7369.1594,0.0,302.1093,813.9008,0.0,0.0,43.4479,230.6625,,,
Argentina,Feb-20,,120.1288,98.9462,0.0,1953.2474,7270.3051,0.0,809.1439999999999,369.3347,0.0,0.0,83.6179,643.7757,,,
Argentina,Feb-21,,31.103,129.1658,0.0,2038.4291,6459.9251,0.0,531.3618,515.3581,0.0,0.0,168.9794,817.9615,,,
Argentina,Feb-22,,219.7473,164.5423,,1121.1893,6517.0817,,897.7875,986.3969999999999,,,243.9444,1043.6265,,,
Argentina,Jan-15,,195.203,56.233999999999995,0.0,2519.945,6767.06,,559.0790000000001,1856.7379999999998,0.0,0.0,1.511,51.294,,,
Argentina,Jan-16,,202.149,45.43899999999999,0.0,2879.946,7360.184,,692.075,1754.471,0.0,,1.298,48.728,,,
Argentina,Jan-17,,212.805,84.491,0.0,2710.078,8155.811,,643.307,1389.8770000000002,0.0,,1.516,55.788000000000004,,,
Argentina,Jan-18,,275.3227,60.912,0.0,2825.4957,8344.9223,0.0,644.6919,798.9751,0.0,0.0,1.6132,55.7481,,,
Argentina,Jan-19,,10.3505,67.9746,0.0,2694.0684,7902.8671,0.0,201.4835,283.8862,0.0,0.0,40.1105,285.6112,,,
Argentina,Jan-20,,61.2653,114.29299999999999,0.0,2392.7093,7415.1231,0.0,795.3313,901.1946,0.0,0.0,105.9125,676.7066,,,
Argentina,Jan-21,,244.0148,140.3715,0.0,1736.1104,7751.7979,0.0,681.4815,1380.3909,0.0,0.0,193.6768,1047.1598,,,
Argentina,Jan-22,,275.1321,178.17,,1607.1652,7866.1124,,981.9164,1675.5663,,,254.8534,1180.032,,,
Argentina,Jan-23,,298.6224,172.4897,,2097.6419,7174.7390000000005,,636.1936,1986.6753,,,303.6122,1135.2297,,,
Argentina,Jul-15,,267.781,125.307,0.0,3158.1679999999997,5653.678000000001,,880.549,1969.849,0.0,0.0,1.04,52.493,,,
Argentina,Jul-16,,263.314,23.406,0.0,2140.885,7208.433000000001,,686.94,2116.562,0.0,,1.114,40.589,,,
Argentina,Jul-17,,222.81,136.696,0.0,2224.739,8842.653,,254.571,989.6260000000001,0.0,,1.15,51.038000000000004,,,
Argentina,Jul-18,,318.1229,151.345,0.0,3055.4521,8109.1321,0.0,713.1307,967.8122,0.0,0.0,3.1772,90.8067,,,
Argentina,Jul-19,,310.0549,159.4721,0.0,2330.7422,7543.2281,0.0,740.595,475.9943,0.0,0.0,53.5706,417.2914,,,
Argentina,Jul-20,,430.8513,212.4856,0.0,2934.9802,6357.5234,0.0,740.6348,1290.4205,0.0,0.0,66.5484,749.1206,,,
Argentina,Jul-21,,270.7939,197.8072,0.0,1442.8091,7630.035,0.0,1107.262,1196.5237,0.0,0.0,138.2558,1278.6726,,,
Argentina,Jul-22,,286.1778,210.7904,,1936.3466,6329.4854,,741.0443,1487.5158,,,175.706,1212.9584,,,
Argentina,Jun-15,,209.232,102.177,0.0,2736.1679999999997,6294.628000000001,,424.153,2220.845,0.0,0.0,0.975,55.032,,,
