Country,Country Code,Year,GDP
Australia,AUS,2009,928627000000.0
Austria,AUT,2009,401759000000.0
Belgium,BEL,2009,483254000000.0
Canada,CAN,2009,1374630000000.0
Chile,CHL,2009,171413000000.0
Colombia,COL,2009,232398000000.0
Costa Rica,CRI,2009,30745712007.0
Czech Republic,CZE,2009,207434000000.0
Denmark,DNK,2009,321241000000.0
Estonia,EST,2009,19633031398.0
Finland,FIN,2009,253498000000.0
France,FRA,2009,2700890000000.0
Germany,DEU,2009,3411260000000.0
Greece,GRC,2009,331309000000.0
Hungary,HUN,2009,131069000000.0
Iceland,ISL,2009,13154414219.0
Ireland,IRL,2009,236443000000.0
Italy,ITA,2009,2199930000000.0
Japan,JPN,2009,5289490000000.0
Korea,KOR,2009,943942000000.0
Latvia,LVA,2009,26410909091.0
Lithuania,LTU,2009,37388122046.0
Luxembourg,LUX,2009,54467289898.0
Mexico,MEX,2009,900045000000.0
Netherlands,NLD,2009,871519000000.0
New Zealand,NZL,2009,121374000000.0
Norway,NOR,2009,386190000000.0
Poland,POL,2009,439738000000.0
Portugal,PRT,2009,244668000000.0
Slovak Republic,SVK,2009,89399303222.0
Slovenia,SVN,2009,50567734886.0
Spain,ESP,2009,1491470000000.0
Sweden,SWE,2009,436537000000.0
Switzerland,CHE,2009,554213000000.0
Republic of Turkiye,TUR,2009,649273000000.0
United Kingdom,GBR,2009,2417640000000.0
United States,USA,2009,14478100000000.0
Argentina,ARG,2009,332976000000.0
Brazil,BRA,2009,1667020000000.0
Bulgaria,BGR,2009,52023505367.0
People's Republic of China,CHN,2009,5101700000000.0
Croatia,HRV,2009,63324394634.0
Cyprus,CYP,2009,25945391775.0
India,IND,2009,1341890000000.0
Malta,MLT,2009,8696304529.0
North Macedonia,MKD,2009,9401731496.0
Romania,ROU,2009,174104000000.0
Serbia,SRB,2009,45162894381.0
Australia,AUS,2010,1148610000000.0
Austria,AUT,2010,392275000000.0
Belgium,BEL,2010,481421000000.0
Canada,CAN,2010,1617340000000.0
Chile,CHL,2010,217105000000.0
Colombia,COL,2010,286563000000.0
Costa Rica,CRI,2010,37658614803.0
Czech Republic,CZE,2010,209070000000.0
Denmark,DNK,2010,321995000000.0
Estonia,EST,2010,19523477326.0
Finland,FIN,2010,249424000000.0
France,FRA,2010,2645190000000.0
Germany,DEU,2010,3399670000000.0
Greece,GRC,2010,297125000000.0
Hungary,HUN,2010,132175000000.0
Iceland,ISL,2010,13751161918.0
Ireland,IRL,2010,221914000000.0
Italy,ITA,2010,2136100000000.0
Japan,JPN,2010,5759070000000.0
Korea,KOR,2010,1144070000000.0
Latvia,LVA,2010,23956163077.0
Lithuania,LTU,2010,37128694028.0
Luxembourg,LUX,2010,56213985987.0
Mexico,MEX,2010,1057800000000.0
Netherlands,NLD,2010,847381000000.0
New Zealand,NZL,2010,146518000000.0
Norway,NOR,2010,428757000000.0
Poland,POL,2010,475697000000.0
Portugal,PRT,2010,238113000000.0
Slovak Republic,SVK,2010,91162836320.0
Slovenia,SVN,2010,48208240226.0
Spain,ESP,2010,1422110000000.0
Sweden,SWE,2010,495813000000.0
Switzerland,CHE,2010,598851000000.0
Republic of Turkiye,TUR,2010,776993000000.0
United Kingdom,GBR,2010,2491400000000.0
United States,USA,2010,15049000000000.0
Argentina,ARG,2010,423627000000.0
Brazil,BRA,2010,2208870000000.0
Bulgaria,BGR,2010,50682061053.0
People's Republic of China,CHN,2010,6087160000000.0
Croatia,HRV,2010,60672093865.0
Cyprus,CYP,2010,25800247912.0
India,IND,2010,1675620000000.0
Malta,MLT,2010,9035927350.0
