Country,Country Code,Year,Population
Australia,AUS,2009,21691653.0
Austria,AUT,2009,8343323.0
Belgium,BEL,2009,10796493.0
Canada,CAN,2009,33628895.0
Chile,CHL,2009,16833447.0
Colombia,COL,2009,44313917.0
Costa Rica,CRI,2009,4563127.0
Czech Republic,CZE,2009,10443936.0
Denmark,DNK,2009,5523095.0
Estonia,EST,2009,1334515.0
Finland,FIN,2009,5338871.0
France,FRA,2009,64710879.0
Germany,DEU,2009,81902307.0
Greece,GRC,2009,11107017.0
Hungary,HUN,2009,10022650.0
Iceland,ISL,2009,318499.0
Ireland,IRL,2009,4535375.0
Italy,ITA,2009,59095365.0
Japan,JPN,2009,128047000.0
Korea,KOR,2009,49307835.0
Latvia,LVA,2009,2141669.0
Lithuania,LTU,2009,3162916.0
Luxembourg,LUX,2009,497783.0
Mexico,MEX,2009,111049428.0
Netherlands,NLD,2009,16530388.0
New Zealand,NZL,2009,4302600.0
Norway,NOR,2009,4828726.0
Poland,POL,2009,38151603.0
Portugal,PRT,2009,10568247.0
Slovak Republic,SVK,2009,5386406.0
Slovenia,SVN,2009,2039669.0
Spain,ESP,2009,46362946.0
Sweden,SWE,2009,9298515.0
Switzerland,CHE,2009,7743831.0
Republic of Turkiye,TUR,2009,72225639.0
United Kingdom,GBR,2009,62276270.0
United States,USA,2009,306771529.0
Argentina,ARG,2009,40684338.0
Brazil,BRA,2009,194517549.0
Bulgaria,BGR,2009,7444443.0
People's Republic of China,CHN,2009,1331260000.0
Croatia,HRV,2009,4305181.0
Cyprus,CYP,2009,1110974.0
India,IND,2009,1223640160.0
Malta,MLT,2009,412477.0
North Macedonia,MKD,2009,2050671.0
Romania,ROU,2009,20367487.0
Serbia,SRB,2009,7320807.0
Australia,AUS,2010,22031750.0
Austria,AUT,2010,8363404.0
Belgium,BEL,2010,10895586.0
Canada,CAN,2010,34004889.0
Chile,CHL,2010,17004162.0
Colombia,COL,2010,44816108.0
Costa Rica,CRI,2010,4622252.0
Czech Republic,CZE,2010,10474410.0
Denmark,DNK,2010,5547683.0
Estonia,EST,2010,1331475.0
Finland,FIN,2010,5363352.0
France,FRA,2010,65030575.0
Germany,DEU,2010,81776930.0
Greece,GRC,2010,11121341.0
Hungary,HUN,2010,10000023.0
Iceland,ISL,2010,318041.0
Ireland,IRL,2010,4560155.0
Italy,ITA,2010,59277417.0
Japan,JPN,2010,128070000.0
Korea,KOR,2010,49554112.0
Latvia,LVA,2010,2097555.0
Lithuania,LTU,2010,3097282.0
Luxembourg,LUX,2010,506953.0
Mexico,MEX,2010,112532401.0
Netherlands,NLD,2010,16615394.0
New Zealand,NZL,2010,4350700.0
Norway,NOR,2010,4889252.0
Poland,POL,2010,38042794.0
Portugal,PRT,2010,10573100.0
Slovak Republic,SVK,2010,5391428.0
Slovenia,SVN,2010,2048583.0
Spain,ESP,2010,46576897.0
Sweden,SWE,2010,9378126.0
Switzerland,CHE,2010,7824909.0
Republic of Turkiye,TUR,2010,73195345.0
United Kingdom,GBR,2010,62766365.0
United States,USA,2010,309327143.0
Argentina,ARG,2010,40788453.0
Brazil,BRA,2010,196353492.0
Bulgaria,BGR,2010,7395599.0
People's Republic of China,CHN,2010,1337705000.0
Croatia,HRV,2010,4295427.0
Cyprus,CYP,2010,1129686.0
India,IND,2010,1240613620.0
Malta,MLT,2010,414508.0
North Macedonia,MKD,2010,2055004.0
Romania,ROU,2010,20246871.0
Serbia,SRB,2010,7291436.0
Australia,AUS,2011,22340024.0
Austria,AUT,2011,8391643.0
Belgium,BEL,2011,11038264.0
Canada,CAN,2011,34339328.0
Chile,CHL,2011,17173573.0
Colombia,COL,2011,45308899.0
Costa Rica,CRI,2011,4679926.0
Czech Republic,CZE,2011,10496088.0
Denmark,DNK,2011,5570572.0
Estonia,EST,2011,1327439.0
Finland,FIN,2011,5388272.0
France,FRA,2011,65345233.0
Germany,DEU,2011,80274983.0
Greece,GRC,2011,11104899.0
Hungary,HUN,2011,9971727.0
Iceland,ISL,2011,319014.0
Ireland,IRL,2011,4580084.0
Italy,ITA,2011,59379449.0
Japan,JPN,2011,127833000.0
Korea,KOR,2011,49936638.0
Latvia,LVA,2011,2059709.0
Lithuania,LTU,2011,3028115.0
Luxembourg,LUX,2011,518347.0
Mexico,MEX,2011,114150481.0
Netherlands,NLD,2011,16693074.0
New Zealand,NZL,2011,4384000.0
Norway,NOR,2011,4953088.0
Poland,POL,2011,38063255.0
Portugal,PRT,2011,10557560.0
Slovak Republic,SVK,2011,5398384.0
Slovenia,SVN,2011,2052843.0
Spain,ESP,2011,46742697.0
Sweden,SWE,2011,9449213.0
Switzerland,CHE,2011,7912398.0
Republic of Turkiye,TUR,2011,74173854.0
United Kingdom,GBR,2011,63258810.0
United States,USA,2011,311583481.0
Argentina,ARG,2011,41261490.0
Brazil,BRA,2011,198185302.0
Bulgaria,BGR,2011,7348328.0
People's Republic of China,CHN,2011,1345035000.0
Croatia,HRV,2011,4280622.0
Cyprus,CYP,2011,1145086.0
India,IND,2011,1257621191.0
Malta,MLT,2011,416268.0
North Macedonia,MKD,2011,2058539.0
Romania,ROU,2011,20147528.0
Serbia,SRB,2011,7234099.0
Australia,AUS,2012,22733465.0
Austria,AUT,2012,8429991.0
Belgium,BEL,2012,11106932.0
Canada,CAN,2012,34714222.0
Chile,CHL,2012,17341771.0
Colombia,COL,2012,45782417.0
Costa Rica,CRI,2012,4736593.0
Czech Republic,CZE,2012,10510785.0
Denmark,DNK,2012,5591572.0
Estonia,EST,2012,1322696.0
Finland,FIN,2012,5413971.0
France,FRA,2012,65662240.0
Germany,DEU,2012,80425823.0
Greece,GRC,2012,11045011.0
Hungary,HUN,2012,9920362.0
Iceland,ISL,2012,320716.0
Ireland,IRL,2012,4599533.0
Italy,ITA,2012,59539717.0
Japan,JPN,2012,127629000.0
Korea,KOR,2012,50199853.0
Latvia,LVA,2012,2034319.0
Lithuania,LTU,2012,2987773.0
Luxembourg,LUX,2012,530946.0
Mexico,MEX,2012,115755909.0
Netherlands,NLD,2012,16754962.0
New Zealand,NZL,2012,4408100.0
Norway,NOR,2012,5018573.0
Poland,POL,2012,38063164.0
Portugal,PRT,2012,10514844.0
Slovak Republic,SVK,2012,5407579.0
Slovenia,SVN,2012,2057159.0
Spain,ESP,2012,46773055.0
Sweden,SWE,2012,9519374.0
Switzerland,CHE,2012,7996861.0
Republic of Turkiye,TUR,2012,75277439.0
United Kingdom,GBR,2012,63700215.0
United States,USA,2012,313877662.0
Argentina,ARG,2012,41733271.0
Brazil,BRA,2012,199977707.0
Bulgaria,BGR,2012,7305888.0
People's Republic of China,CHN,2012,1354190000.0
Croatia,HRV,2012,4267558.0
Cyprus,CYP,2012,1156556.0
India,IND,2012,1274487215.0
Malta,MLT,2012,420028.0
North Macedonia,MKD,2012,2061044.0
Romania,ROU,2012,20058035.0
Serbia,SRB,2012,7199077.0
Australia,AUS,2013,23128129.0
Austria,AUT,2013,8479823.0
Belgium,BEL,2013,11159407.0
Canada,CAN,2013,35082954.0
Chile,CHL,2013,17509925.0
Colombia,COL,2013,46237930.0
Costa Rica,CRI,2013,4791535.0
Czech Republic,CZE,2013,10514272.0
Denmark,DNK,2013,5614932.0
Estonia,EST,2013,1317997.0
Finland,FIN,2013,5438972.0
France,FRA,2013,66002289.0
Germany,DEU,2013,80645605.0
Greece,GRC,2013,10965211.0
Hungary,HUN,2013,9893082.0
Iceland,ISL,2013,323764.0
Ireland,IRL,2013,4623816.0
Italy,ITA,2013,60233948.0
Japan,JPN,2013,127445000.0
Korea,KOR,2013,50428893.0
Latvia,LVA,2013,2012647.0
Lithuania,LTU,2013,2957689.0
Luxembourg,LUX,2013,543360.0
Mexico,MEX,2013,117290686.0
Netherlands,NLD,2013,16804432.0
New Zealand,NZL,2013,4442100.0
Norway,NOR,2013,5079623.0
Poland,POL,2013,38040196.0
Portugal,PRT,2013,10457295.0
Slovak Republic,SVK,2013,5413393.0
Slovenia,SVN,2013,2059953.0
Spain,ESP,2013,46620045.0
Sweden,SWE,2013,9600379.0
Switzerland,CHE,2013,8089346.0
Republic of Turkiye,TUR,2013,76576117.0
United Kingdom,GBR,2013,64128273.0
United States,USA,2013,316059947.0
Argentina,ARG,2013,42202935.0
Brazil,BRA,2013,201721767.0
Bulgaria,BGR,2013,7265115.0
People's Republic of China,CHN,2013,1363240000.0
Croatia,HRV,2013,4255689.0
Cyprus,CYP,2013,1166968.0
India,IND,2013,1291132063.0
Malta,MLT,2013,425967.0
North Macedonia,MKD,2013,2064032.0
Romania,ROU,2013,19983693.0
Serbia,SRB,2013,7164132.0
Australia,AUS,2014,23475686.0
Austria,AUT,2014,8546356.0
Belgium,BEL,2014,11209057.0
Canada,CAN,2014,35437435.0
Chile,CHL,2014,17687108.0
Colombia,COL,2014,46677947.0
Costa Rica,CRI,2014,4844288.0
Czech Republic,CZE,2014,10525347.0
Denmark,DNK,2014,5643475.0
Estonia,EST,2014,1314545.0
Finland,FIN,2014,5461512.0
France,FRA,2014,66312067.0
Germany,DEU,2014,80982500.0
Greece,GRC,2014,10892413.0
Hungary,HUN,2014,9866468.0
Iceland,ISL,2014,327386.0
Ireland,IRL,2014,4657740.0
Italy,ITA,2014,60789140.0
Japan,JPN,2014,127276000.0
