country_code,country,year,month,tempdiff
ARG,Argentina,2009,12,0.0
ARG,Argentina,2010,1,0.713
ARG,Argentina,2010,2,0.32899999999999996
ARG,Argentina,2010,3,1.426
ARG,Argentina,2010,4,-0.184
ARG,Argentina,2010,5,-0.47200000000000003
ARG,Argentina,2010,6,0.55
ARG,Argentina,2010,7,-1.04
ARG,Argentina,2010,8,-0.7609999999999999
ARG,Argentina,2010,9,0.226
ARG,Argentina,2010,10,0.14800000000000002
ARG,Argentina,2010,11,-0.19
ARG,Argentina,2010,12,0.524
ARG,Argentina,2011,1,0.597
ARG,Argentina,2011,2,-0.026000000000000002
ARG,Argentina,2011,3,0.14800000000000002
ARG,Argentina,2011,4,0.7490000000000001
ARG,Argentina,2011,5,0.084
ARG,Argentina,2011,6,0.039
ARG,Argentina,2011,7,-0.406
ARG,Argentina,2011,8,-0.8109999999999999
ARG,Argentina,2011,9,1.285
ARG,Argentina,2011,10,0.061
ARG,Argentina,2011,11,1.24
ARG,Argentina,2011,12,0.662
ARG,Argentina,2012,1,1.555
ARG,Argentina,2012,2,0.84
ARG,Argentina,2012,3,0.863
ARG,Argentina,2012,4,0.204
ARG,Argentina,2012,5,1.079
ARG,Argentina,2012,6,0.262
ARG,Argentina,2012,7,-1.2930000000000001
ARG,Argentina,2012,8,0.9
ARG,Argentina,2012,9,1.444
ARG,Argentina,2012,10,0.887
ARG,Argentina,2012,11,1.158
ARG,Argentina,2012,12,0.462
ARG,Argentina,2013,1,0.889
ARG,Argentina,2013,2,0.534
ARG,Argentina,2013,3,-1.0959999999999999
ARG,Argentina,2013,4,1.4909999999999999
ARG,Argentina,2013,5,0.26899999999999996
ARG,Argentina,2013,6,1.276
ARG,Argentina,2013,7,0.078
ARG,Argentina,2013,8,-0.722
ARG,Argentina,2013,9,-0.547
ARG,Argentina,2013,10,1.2309999999999999
ARG,Argentina,2013,11,0.583
ARG,Argentina,2013,12,2.267
ARG,Argentina,2014,1,1.089
ARG,Argentina,2014,2,0.066
ARG,Argentina,2014,3,-0.812
ARG,Argentina,2014,4,0.20600000000000002
ARG,Argentina,2014,5,0.348
ARG,Argentina,2014,6,0.7440000000000001
ARG,Argentina,2014,7,0.65
ARG,Argentina,2014,8,2.15
ARG,Argentina,2014,9,1.545
ARG,Argentina,2014,10,2.4659999999999997
ARG,Argentina,2014,11,0.099
ARG,Argentina,2014,12,0.086
ARG,Argentina,2015,1,0.625
ARG,Argentina,2015,2,0.508
ARG,Argentina,2015,3,1.445
ARG,Argentina,2015,4,2.158
ARG,Argentina,2015,5,1.605
ARG,Argentina,2015,6,2.029
ARG,Argentina,2015,7,1.094
ARG,Argentina,2015,8,2.23
ARG,Argentina,2015,9,0.20199999999999999
ARG,Argentina,2015,10,-1.129
ARG,Argentina,2015,11,-0.152
ARG,Argentina,2015,12,0.657
ARG,Argentina,2016,1,1.128
ARG,Argentina,2016,2,1.655
ARG,Argentina,2016,3,0.401
ARG,Argentina,2016,4,-0.068
ARG,Argentina,2016,5,-1.147
ARG,Argentina,2016,6,-0.629
ARG,Argentina,2016,7,0.17
ARG,Argentina,2016,8,1.703
ARG,Argentina,2016,9,0.441
ARG,Argentina,2016,10,0.39399999999999996
ARG,Argentina,2016,11,0.297
ARG,Argentina,2016,12,1.0959999999999999
ARG,Argentina,2017,1,1.403
ARG,Argentina,2017,2,1.5819999999999999
ARG,Argentina,2017,3,0.623
ARG,Argentina,2017,4,0.42700000000000005
