AverageTemperature,AverageTemperatureUncertainty,Country,Time
-0.823,0.427,Aland,Dec-09
3.88,0.455,Afghanistan,Dec-09
22.738,0.222,Africa,Dec-09
7.522,0.369,Albania,Dec-09
15.889,0.345,Algeria,Dec-09
26.9,0.47,American Samoa,Dec-09
4.789,0.168,Andorra,Dec-09
23.457,0.694,Angola,Dec-09
26.865,0.313,Anguilla,Dec-09
26.716,0.267,Antigua And Barbuda,Dec-09
20.274,0.276,Argentina,Dec-09
1.479,0.513,Armenia,Dec-09
28.514,0.336,Aruba,Dec-09
-5.494,0.125,Asia,Dec-09
28.021,0.187,Australia,Dec-09
-2.061,0.363,Austria,Dec-09
4.255,0.438,Azerbaijan,Dec-09
24.321,0.379,Bahamas,Dec-09
19.076,0.43,Bahrain,Dec-09
26.034,0.182,Baker Island,Dec-09
19.311,0.24,Bangladesh,Dec-09
27.092,0.32,Barbados,Dec-09
-3.973,0.179,Belarus,Dec-09
2.2,0.222,Belgium,Dec-09
24.13,0.268,Belize,Dec-09
28.039,0.349,Benin,Dec-09
5.547,0.218,Bhutan,Dec-09
22.959,0.299,Bolivia,Dec-09
27.823,0.263,"Bonaire, Saint Eustatius And Saba",Dec-09
3.481,0.485,Bosnia And Herzegovina,Dec-09
27.337,0.448,Botswana,Dec-09
25.998,0.161,Brazil,Dec-09
26.798,0.246,British Virgin Islands,Dec-09
3.379,0.285,Bulgaria,Dec-09
26.943,0.322,Burkina Faso,Dec-09
20.049,0.337,Burma,Dec-09
20.128,0.334,Burundi,Dec-09
26.567,0.303,Cote D'Ivoire,Dec-09
25.862,0.26,Cambodia,Dec-09
24.83,0.292,Cameroon,Dec-09
-17.948,0.193,Canada,Dec-09
24.553,0.966,Cape Verde,Dec-09
26.608,0.373,Cayman Islands,Dec-09
25.046,0.593,Central African Republic,Dec-09
23.502,1.295,Chad,Dec-09
12.976,0.232,Chile,Dec-09
-6.128,0.159,China,Dec-09
26.812,0.365,Christmas Island,Dec-09
26.058,0.273,Colombia,Dec-09
27.983,0.32,Comoros,Dec-09
24.286,0.33,Congo (Democratic Republic Of The),Dec-09
25.408,0.457,Congo,Dec-09
26.263,0.217,Costa Rica,Dec-09
3.766,0.335,Croatia,Dec-09
25.246,0.388,Cuba,Dec-09
27.994,0.221,Curacao,Dec-09
14.956,0.175,Cyprus,Dec-09
-0.729,0.226,Czech Republic,Dec-09
0.92,0.176,Denmark (Europe),Dec-09
-23.908,0.536,Denmark,Dec-09
26.506,0.359,Djibouti,Dec-09
26.472,0.377,Dominica,Dec-09
25.939,0.302,Dominican Republic,Dec-09
23.135,0.236,Ecuador,Dec-09
16.031,0.219,Egypt,Dec-09
24.978,0.517,El Salvador,Dec-09
26.397,0.303,Equatorial Guinea,Dec-09
24.682,0.276,Eritrea,Dec-09
-4.74,0.32,Estonia,Dec-09
23.15,0.376,Ethiopia,Dec-09
-0.029,0.188,Europe,Dec-09
8.101,0.376,Falkland Islands (Islas Malvinas),Dec-09
4.84,0.235,Faroe Islands,Dec-09
27.336,0.425,Federated States Of Micronesia,Dec-09
25.696,0.476,Fiji,Dec-09
-9.163,0.397,Finland,Dec-09
3.956,0.144,France (Europe),Dec-09
7.66,0.236,France,Dec-09
26.367,0.305,French Guiana,Dec-09
28.133,0.636,French Polynesia,Dec-09
7.785,0.983,French Southern And Antarctic Lands,Dec-09
25.417,0.391,Gabon,Dec-09
25.831,0.466,Gambia,Dec-09
14.251,0.272,Gaza Strip,Dec-09
2.8,0.295,Georgia,Dec-09
0.056,0.139,Germany,Dec-09
27.919,0.283,Ghana,Dec-09
10.057,0.221,Greece,Dec-09
-24.412,0.549,Greenland,Dec-09
27.491,0.272,Grenada,Dec-09
26.632,0.292,Guadeloupe,Dec-09
26.733,0.369,Guam,Dec-09
22.223,0.314,Guatemala,Dec-09
7.557,0.128,Guernsey,Dec-09
25.496,0.57,Guinea Bissau,Dec-09
24.761,0.523,Guinea,Dec-09
26.639,0.359,Guyana,Dec-09
26.808,0.295,Haiti,Dec-09
4.564,0.904,Heard Island And Mcdonald Islands,Dec-09
24.202,0.351,Honduras,Dec-09
17.162,0.209,Hong Kong,Dec-09
1.458,0.324,Hungary,Dec-09
-1.912,0.368,Iceland,Dec-09
18.631,0.175,India,Dec-09
26.447,0.146,Indonesia,Dec-09
8.722,0.196,Iran,Dec-09
12.803,0.255,Iraq,Dec-09
4.077,0.281,Ireland,Dec-09
5.843,0.278,Isle Of Man,Dec-09
14.863,0.216,Israel,Dec-09
6.154,0.224,Italy,Dec-09
26.593,0.593,Jamaica,Dec-09
4.234,0.151,Japan,Dec-09
7.557,0.128,Jersey,Dec-09
12.937,0.325,Jordan,Dec-09
-9.652,0.202,Kazakhstan,Dec-09
25.348,0.262,Kenya,Dec-09
27.799,0.64,Kingman Reef,Dec-09
27.308,0.68,Kiribati,Dec-09
16.254,0.313,Kuwait,Dec-09
-8.048,0.603,Kyrgyzstan,Dec-09
20.415,0.179,Laos,Dec-09
-4.114,0.343,Latvia,Dec-09
12.719,0.289,Lebanon,Dec-09
19.357,0.403,Lesotho,Dec-09
26.172,0.401,Liberia,Dec-09
15.448,0.524,Libya,Dec-09
-3.8,0.59,Liechtenstein,Dec-09
-3.013,0.251,Lithuania,Dec-09
1.93,0.187,Luxembourg,Dec-09
16.527,0.29,Macau,Dec-09
4.068,0.25,North Macedonia,Dec-09
25.924,0.361,Madagascar,Dec-09
24.302,0.424,Malawi,Dec-09
26.13,0.157,Malaysia,Dec-09
24.213,0.631,Mali,Dec-09
16.085,0.446,Malta,Dec-09
26.472,0.377,Martinique,Dec-09
23.433,0.457,Mauritania,Dec-09
26.318,0.217,Mauritius,Dec-09
28.146,0.31,Mayotte,Dec-09
15.183,0.126,Mexico,Dec-09
-1.124,0.349,Moldova,Dec-09
0.977,0.295,Monaco,Dec-09
-20.072,0.519,Mongolia,Dec-09
3.765,0.308,Montenegro,Dec-09
26.664,0.272,Montserrat,Dec-09
13.252,0.383,Morocco,Dec-09
26.898,0.288,Mozambique,Dec-09
25.55,0.909,Namibia,Dec-09
8.067,0.514,Nepal,Dec-09
2.137,0.145,Netherlands (Europe),Dec-09
2.698,0.146,Netherlands,Dec-09
24.787,0.553,New Caledonia,Dec-09
13.765,0.158,New Zealand,Dec-09
26.208,0.33,Nicaragua,Dec-09
22.206,0.601,Niger,Dec-09
26.248,0.476,Nigeria,Dec-09
25.246,0.359,Niue,Dec-09
-8.681,0.117,North America,Dec-09
-7.041,0.197,North Korea,Dec-09
26.733,0.369,Northern Mariana Islands,Dec-09
-7.209,0.416,Norway,Dec-09
27.413,0.188,Oceania,Dec-09
22.658,0.504,Oman,Dec-09
11.959,0.179,Pakistan,Dec-09
27.373,0.3,Palau,Dec-09
22.131,0.312,Palestina,Dec-09
27.813,0.636,Palmyra Atoll,Dec-09
27.199,0.265,Panama,Dec-09
25.292,0.494,Papua New Guinea,Dec-09
27.644,0.369,Paraguay,Dec-09
21.207,0.3,Peru,Dec-09
25.789,0.121,Philippines,Dec-09
-1.518,0.244,Poland,Dec-09
9.73,0.246,Portugal,Dec-09
26.206,0.226,Puerto Rico,Dec-09
20.359,0.204,Qatar,Dec-09
25.393,0.461,Reunion,Dec-09
0.18,0.314,Romania,Dec-09
-25.01,0.266,Russia,Dec-09
19.327,0.413,Rwanda,Dec-09
26.865,0.313,Saint Barthelemy,Dec-09
26.356,0.271,Saint Kitts And Nevis,Dec-09
27.348,0.322,Saint Lucia,Dec-09
26.865,0.313,Saint Martin,Dec-09
-0.62,0.447,Saint Pierre And Miquelon,Dec-09
27.535,0.31,Saint Vincent And The Grenadines,Dec-09
26.784,0.344,Samoa,Dec-09
8.283,0.373,San Marino,Dec-09
27.62,0.872,Sao Tome And Principe,Dec-09
18.152,0.212,Saudi Arabia,Dec-09
